pull_req_id,project_name,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_1000_lines,watchers,requester,prev_pullreqs,requester_succ_rate,followers
826748,active_merchant,557,1358877421,1358964675,1358964675,1454,1454,1,4,5,6,98,27025,65,117,3,1435.22664199815,2301,melari,0,0,2
825509,active_merchant,554,1358371838,1358634561,1358634561,4378,4378,1,3,0,7,99,26934,172,68,0,1434.6922105888468,2301,bowmande,1,0.0,1
825475,active_merchant,553,1358365043,1358633469,1358633469,4473,4473,1,1,0,3,99,26934,40,22,0,1434.6922105888468,2301,duff,12,0.3333333333333333,17
839935,active_merchant,552,1358359699,1358359744,1358359744,0,0,1,2,0,4,99,26934,94,34,0,1434.6922105888468,2301,bowmande,0,0,1
825427,active_merchant,549,1357971989,1358632255,1358632255,11004,11004,1,1,0,3,99,26809,74,69,0,1432.8024170987355,2301,cdaloisio,0,0,0
839938,active_merchant,547,1357936809,1358179284,1358179284,4041,4041,1,1,0,1,99,26809,0,0,6,1432.8024170987355,2301,ntalbott,6,0.16666666666666666,57
775405,active_merchant,543,1357140836,1357150063,1357150063,153,153,1,1,1,2,99,26799,1,29,1,1431.0235456546886,2301,Soleone,9,0.5555555555555556,18
833651,active_merchant,542,1358893819,1358903924,1358903924,168,168,1,1,0,3,98,27025,70,21,38,1434.782608695652,2301,ntalbott,5,0.2,57
771532,active_merchant,540,1356793829,1356796501,1356796501,44,44,1,1,0,2,99,26799,5,50,0,1430.5384529273479,2299,duff,11,0.36363636363636365,17
770528,active_merchant,539,1356756043,1358904086,1358904086,35800,35800,1,1,3,1,99,26799,6,0,0,1430.5384529273479,2299,alex3t,0,0,5
762897,active_merchant,537,1356540549,1356623421,1356623421,1381,1381,1,1,0,2,99,26763,2,4,0,1418.3013862422001,2296,duff,10,0.4,17
765444,active_merchant,536,1356350025,1358778938,1358778938,40481,40481,1,2,11,10,99,26763,385,104,0,1418.3013862422001,2295,nextbyte,0,0,0
765471,active_merchant,535,1356274096,1356623696,1356623696,5826,5826,1,1,2,1,99,26763,0,2,0,1418.3013862422001,2293,sanemat,0,0,40
765428,active_merchant,534,1355945953,1356622696,1356622696,11279,11279,1,1,0,2,99,26763,16,16,0,1418.3013862422001,2291,duff,9,0.4444444444444444,17
758227,active_merchant,532,1355771503,1356622468,1356622468,14182,14182,1,1,0,1,99,26763,2,0,1,1418.3013862422001,2285,semaperepelitsa,0,0,3
752744,active_merchant,531,1355527122,1358630828,1358630828,51728,51728,1,1,1,2,99,26576,9,2,5,1391.4057796508127,2284,aprofeit,0,0,2
752715,active_merchant,530,1355526020,1355594698,1355594698,1144,1144,1,3,0,9,99,26576,289,154,0,1391.4057796508127,2284,duff,8,0.5,17
749171,active_merchant,529,1355428459,1355750352,1355750352,5364,5364,1,1,5,1,99,26352,0,0,4,1373.4441408621735,2284,brynary,0,0,308
745548,active_merchant,526,1355336932,1355593298,1355593298,4272,4272,1,1,0,6,99,26352,235,1036,0,1373.4441408621735,2282,duff,7,0.5714285714285714,17
722984,active_merchant,525,1354899384,1354903880,1354903880,74,74,1,1,6,3,99,26341,21,25,3,1372.385254925781,2279,Soleone,8,0.5,17
704962,active_merchant,523,1354822594,1354867204,1354867204,743,743,1,1,3,4,99,26341,4,18,2,1372.0056186173647,2278,jduff,17,0.5882352941176471,35
676065,active_merchant,521,1354715836,1354735931,1354735931,334,334,1,1,1,4,99,26343,14,26,5,1371.2940819192954,2277,jduff,16,0.5625,35
606495,active_merchant,519,1354551616,1354630147,1354630147,1308,1308,1,2,9,10,99,26134,602,964,7,1365.768730389531,2276,ntalbott,4,0.25,57
775408,active_merchant,518,1354520048,,1354551171,518,,1,0,0,0,99,26134,0,0,0,1365.768730389531,2276,thomasklemm,0,0,14
611904,active_merchant,517,1354313496,1355520999,1355520999,20125,20125,1,1,2,1,99,26134,2,0,0,1365.768730389531,2272,aq1018,0,0,62
833668,active_merchant,516,1358894304,1358903807,1358903807,158,158,1,1,0,4,98,27025,6,78,39,1435.22664199815,2301,ntalbott,3,0.3333333333333333,57
588970,active_merchant,515,1354220822,1355594737,1355594737,22898,22898,1,1,0,1,99,26131,2,0,0,1362.4048065516054,2272,bob-p,0,0,15
752525,active_merchant,514,1354059364,1355520548,1355520548,24353,24353,1,2,0,6,99,26131,61,241,0,1362.4048065516054,2270,forest,0,0,6
752436,active_merchant,513,1353978175,1355518452,1355518452,25671,25671,0,1,0,2,100,26131,2,22,0,1362.4048065516054,2270,moklett,6,0.16666666666666666,12
752356,active_merchant,512,1353977611,1355516237,1355516237,25643,25643,0,1,0,2,100,26131,2,66,0,1362.4048065516054,2270,moklett,5,0.2,12
752167,active_merchant,511,1353976273,1355511528,1355511528,25587,25587,0,1,0,2,100,26131,61,136,0,1362.4048065516054,2270,moklett,4,0.25,12
752152,active_merchant,510,1353651168,1355511304,1355511304,31002,31002,0,1,0,1,100,26131,0,0,0,1362.4048065516054,2270,gaboesquivel,0,0,12
752136,active_merchant,509,1353579485,1355511025,1355511025,32192,32192,0,1,0,2,100,26131,349,53,0,1362.4048065516054,2270,lenw,0,0,6
480626,active_merchant,507,1353060605,1356622365,1356622365,59362,59362,0,6,8,17,100,26131,153,615,0,1362.4048065516054,4538,twarberg,0,0,4
470012,active_merchant,504,1352730849,1352995686,1352995686,4413,4413,0,2,2,1,100,25926,0,11,0,1369.2046594152587,2269,v-fedorov,0,0,0
463531,active_merchant,503,1352480731,1352484693,1352484693,66,66,0,3,0,6,100,25924,25,40,0,1371.663323561179,2269,samuelreh,1,0.0,5
458909,active_merchant,502,1352392494,1352482724,1352482724,1503,1503,0,1,1,0,100,25917,0,0,0,1371.3778600918315,2269,ntalbott,2,0.5,57
485091,active_merchant,501,1352140117,1352140199,1352140199,1,1,0,3,0,106,100,25914,5099,291,192,1371.536621131435,2267,orenmazor,3,1.0,15
472525,active_merchant,500,1352140063,1355510886,1355510886,56180,56180,0,3,2,7,100,25914,242,572,0,1371.536621131435,4534,frobcode,2,0.0,0
459017,active_merchant,499,1352139501,1352393788,1352393788,4238,4238,0,1,0,0,100,25914,0,0,0,1371.536621131435,2267,fabiokr,5,0.0,23
472527,active_merchant,498,1351881662,1354815496,1354815496,48897,48897,0,2,2,2,100,25513,4,2,4,1377.8857837181044,2265,BlakeMesdag,3,0.6666666666666666,2
